Инструмент;Embedding Dimension;Time Delay;Radius;RR;DET;LAM;TT;DIV;diag_entr;vert_entr;white_vert_entr;MINLINE;Доходность;Волатильность;Sharpe Ratio;Score;Category
AAPL;2;1;1,0;0,0097;0,3164;0,1689;2,1702;0,2;0,8568999767303467;0,46320000290870667;4,9542999267578125;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
AAPL;4;3;0,8;0,0042;0,0;0,0;nan;1,0;0,0;0,0;5,476900100708008;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
AAPL;2;2;1,0;0,0084;0,1103;0,1516;2,0789;0,3333;0,4101000130176544;0,27619999647140503;5,0706000328063965;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
AAPL;3;2;0,9;0,0043;0,0;0,0153;2,0;1,0;0,0;0,0;5,477700233459473;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
AAPL;4;3;0,9;0,0042;0,0;0,0;nan;1,0;0,0;0,0;5,476900100708008;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
AAPL;3;1;1,0;0,0049;0,5;0,0432;2,6;0,3333;0,4505999982357025;0,6729999780654907;5,407199859619141;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
AAPL;2;1;0,9;0,0086;0,2917;0,1431;2,2;0,25;0,7297999858856201;0,5062999725341797;5,032299995422363;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
AAPL;4;3;1,0;0,0042;0,0;0,0163;2,0;1,0;0,0;0,0;5,474699974060059;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
AAPL;3;2;0,8;0,0043;0,0;0,0153;2,0;1,0;0,0;0,0;5,477700233459473;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
AAPL;4;2;0,8;0,0041;nan;0,0;nan;inf;0,0;0,0;5,493100166320801;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
AAPL;2;2;0,9;0,0076;0,1182;0,1429;2,0938;0,3333;0,4505999982357025;0,3111000061035156;5,1483001708984375;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
AAPL;4;1;0,9;0,0041;0,0;0,0159;2,0;1,0;0,0;0,0;5,499499797821045;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
AAPL;2;3;0,8;0,0069;0,0455;0,1604;2,0;0,5;0,0;0,0;5,2118000984191895;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
AAPL;3;3;1,0;0,0045;0,0;0,0595;2,0;1,0;0,0;0,0;5,440800189971924;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
AAPL;2;3;0,9;0,0074;0,0381;0,1921;2,0;0,5;0,0;0,0;5,149499893188477;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
AAPL;4;1;0,8;0,0041;0,0;0,0159;2,0;1,0;0,0;0,0;5,499499797821045;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
AAPL;3;3;0,9;0,0044;0,0;0,0453;2,0;1,0;0,0;0,0;5,446000099182129;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
AAPL;3;1;0,8;0,0044;0,3636;0,0258;2,3333;0,5;0,0;0,6365000009536743;5,472499847412109;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
AAPL;2;1;0,8;0,0077;0,2435;0,1146;2,1154;0,3333;0,4293000102043152;0,35760000348091125;5,117800235748291;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
AAPL;4;1;1,0;0,0042;0,3333;0,0154;2,0;0,5;0,0;0,0;5,4832000732421875;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
AAPL;3;3;0,8;0,0043;0,0;0,0153;2,0;1,0;0,0;0,0;5,457099914550781;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
GOOG;4;2;0,9;0,0041;nan;0,0;nan;inf;0,0;0,0;5,493100166320801;2;0,0;1,0000000000000002;0,0;-1,0000000000000002;Worst
GOOG;2;3;1,0;0,0078;0,069;0,2208;2,0385;0,5;0,0;0,16300000250339508;5,16540002822876;2;0,0;1,0000000000000002;0,0;-1,0000000000000002;Worst
GOOG;4;2;0,8;0,0041;nan;0,0;nan;inf;0,0;0,0;5,493100166320801;2;0,0;1,0000000000000002;0,0;-1,0000000000000002;Worst
GOOG;3;2;0,8;0,0043;0,0;0,0456;2,0;1,0;0,0;0,0;5,474100112915039;2;0,0;1,0000000000000002;0,0;-1,0000000000000002;Worst
GOOG;3;3;1,0;0,0044;0,0;0,0913;2,0;1,0;0,0;0,0;5,469299793243408;2;0,0;1,0000000000000002;0,0;-1,0000000000000002;Worst
GOOG;4;3;1,0;0,0041;nan;0,0;nan;inf;0,0;0,0;5,480599880218506;2;0,0;1,0000000000000002;0,0;-1,0000000000000002;Worst
GOOG;3;3;0,9;0,0042;0,0;0,0471;2,0;1,0;0,0;0,0;5,479300022125244;2;0,0;1,0000000000000002;0,0;-1,0000000000000002;Worst
GOOG;2;3;0,9;0,0068;0,0465;0,1881;2,0256;0,5;0,0;0,11919999867677689;5,2469000816345215;2;0,0;1,0000000000000002;0,0;-1,0000000000000002;Worst
GOOG;2;1;0,9;0,0093;0,3114;0,2312;2,1094;0,3333;0,4505999982357025;0,32670000195503235;5,031799793243408;2;0,0;1,0000000000000002;0,0;-1,0000000000000002;Worst
GOOG;4;1;1,0;0,0041;0,0;0,016;2,0;1,0;0,0;0,0;5,503200054168701;2;0,0;1,0000000000000002;0,0;-1,0000000000000002;Worst
GOOG;4;3;0,9;0,0041;nan;0,0;nan;inf;0,0;0,0;5,480599880218506;2;0,0;1,0000000000000002;0,0;-1,0000000000000002;Worst
GOOG;4;1;0,8;0,004;nan;0,0;nan;inf;0,0;0,0;5,505300045013428;2;0,0;1,0000000000000002;0,0;-1,0000000000000002;Worst
